CD_auc,HYP_auc,MI_auc,NORM_auc,STTC_auc,macro_auc,n,seed,subgroup,variant
0.8514799154334037,0.9611566681053086,0.9782253674469243,0.8850645017793595,0.959127079816735,0.9270107065163462,345,2033,age_lt45,none
0.899215026633025,0.9001140622453968,0.9215861657722124,0.9259812565308254,0.9518648930620762,0.9197522808487072,703,2033,age_45_65,none
0.9263889763021596,0.8852808062499659,0.8973627294827731,0.946194504836626,0.9120815752461322,0.9134617184235314,1150,2033,age_gt65,none
0.9432452097986903,0.9025054466230936,0.936218046978788,0.9530192081248161,0.9378144329896907,0.9345604689030157,660,2033,meta_complete,none
0.9066994900650607,0.902580732946299,0.9212451914591382,0.9450645906081248,0.9348910850758426,0.922096218030893,1538,2033,meta_incomplete,none
0.9096213854795091,0.9046816432291012,0.9140838839218431,0.9392828875323915,0.9194099323917738,0.9174159465109237,1066,2034,sex_male,none
0.9279028981229054,0.9144173260522307,0.9303937579386681,0.9546461290647337,0.9488652574871729,0.9352450737331421,1132,2034,sex_female,none
0.8473270915131381,0.9659041864479931,0.9765922700054437,0.8884008007117438,0.9620207378828068,0.9280490173122251,345,2034,age_lt45,none
0.905663022147463,0.9165172994405519,0.9154119459352018,0.926087382445141,0.9455399061032864,0.9218439112143288,703,2034,age_45_65,none
0.9285954929306317,0.8883326327053158,0.900601894542711,0.9501252481330938,0.9138994374120957,0.9163109411447696,1150,2034,age_gt65,none
0.9454138191779259,0.9141014828870617,0.9421451408049752,0.9554570209007948,0.9345743740795287,0.9383383675700573,660,2034,meta_complete,none
0.9091120098470196,0.9052249637155296,0.9194993375962506,0.9461053953583578,0.93618584396943,0.9232255100973175,1538,2034,meta_incomplete,none
0.9126638235905971,0.9052434739587264,0.9199568280267784,0.9421416515777415,0.9218478991894091,0.9203707352686503,1066,2035,sex_male,none
0.93128027921999,0.9153237490248525,0.9329099377003568,0.9544793868921777,0.9474483405629948,0.9362883386800742,1132,2035,sex_female,none
0.8626547870733917,0.9650410012947777,0.9755035383777899,0.8959074733096086,0.9587653725584759,0.9315744345228089,345,2035,age_lt45,none
0.9151387720773758,0.919287382543045,0.9225178890876564,0.9305854885057472,0.9460354720918102,0.926713000861127,703,2035,age_45_65,none
0.9279735218004583,0.8871097183475369,0.9036834604744739,0.9479668840785203,0.9147433192686356,0.9162953807939249,1150,2035,age_gt65,none
0.9453139490091452,0.9204090238245837,0.9370355771617105,0.9551810420959671,0.9346097201767305,0.9385098624536274,660,2035,meta_complete,none
