CD_auc_max,CD_auc_mean,CD_auc_min,CD_auc_n,CD_auc_std,HYP_auc_max,HYP_auc_mean,HYP_auc_min,HYP_auc_n,HYP_auc_std,MI_auc_max,MI_auc_mean,MI_auc_min,MI_auc_n,MI_auc_std,NORM_auc_max,NORM_auc_mean,NORM_auc_min,NORM_auc_n,NORM_auc_std,STTC_auc_max,STTC_auc_mean,STTC_auc_min,STTC_auc_n,STTC_auc_std,macro_auc_max,macro_auc_mean,macro_auc_min,macro_auc_n,macro_auc_std,n_records_mean,n_runs,subgroup,variant
0.9526187384970966,0.9457412506598564,0.9392218687135295,20,0.0032142781307173598,0.9268746925293415,0.9197176540867241,0.9115538688593717,20,0.0036412549249639826,0.9498678812829384,0.9430276354399334,0.9381596811632287,20,0.0034582181890003547,0.9633776125993524,0.95970387474242,0.9551718428024727,20,0.0022456379482440887,0.9390279823269514,0.9354898379970547,0.9319941089837998,20,0.002023165085472288,0.9455715406972537,0.9407360505851978,0.9377893433519866,20,0.0017585681808674365,660.0,20,meta_complete,demo
0.9128820116054159,0.9065361936580505,0.9004560107848311,20,0.002949721965286634,0.9130578737300437,0.904407202467344,0.8982129898403483,20,0.0031388923262755347,0.9287644841012467,0.9227359188698946,0.9172388715106845,20,0.0027390836281984726,0.9481297605975607,0.9462376642953666,0.9439942963899688,20,0.0012313505424891478,0.9396579314893121,0.9357135842999573,0.9315911471466811,20,0.0020911241788414197,0.9250855531121147,0.9231261127181225,0.9207249312714462,20,0.001279901162226087,1538.0,20,meta_incomplete,demo
0.930746323082533,0.9270216534407613,0.9196547951865807,20,0.003181473758582671,0.919945020245923,0.9125116089007766,0.9063412459601026,20,0.0035241126759844145,0.9403576685013811,0.935438617714067,0.9312445815439828,20,0.002649718020541303,0.9566501812141347,0.9545715669988926,0.9517800513440047,20,0.0012116503706277083,0.9527968392597214,0.9487692649924803,0.946897048653929,20,0.0014651160653956392,0.937721527677876,0.9356625424093956,0.9335152067964652,20,0.0013287657467998366,1132.0,20,sex_female,demo
0.9127106303307676,0.9076893072602458,0.9030372373621801,20,0.0026591940124152183,0.9159517999547182,0.909644201823015,0.903994029500306,20,0.003692525916632163,0.9212694893747357,0.9159731439211626,0.9071413639037577,20,0.0032836989715070296,0.9463810071089619,0.9433735222792048,0.9407899730025697,20,0.001583265542411408,0.9248787653534387,0.9199154454709566,0.9152242398499169,20,0.002212567623624032,0.9218351281658922,0.9193191241509171,0.9165381458578883,20,0.0014736800240830335,1066.0,20,sex_male,demo
0.9123633305298571,0.903605270535464,0.8967059153350153,20,0.004391358687810786,0.9329748519906578,0.9187958285807397,0.9044864483189398,20,0.0063678446239972845,0.9347420989862851,0.928176555356788,0.9176108129596501,20,0.004041995775751647,0.9345611285266457,0.9303593586729363,0.9261200365726228,20,0.002776371715086963,0.9545513823682837,0.9512989045383412,0.9456442357850808,20,0.0023932043039773684,0.9308154150848882,0.926447183536854,0.9231095251879475,20,0.0022075028623928105,703.0,20,age_45_65,demo+anthro
0.9332306587340667,0.9273719128203799,0.922142542455083,20,0.002621628434886682,0.9002505882545626,0.8918288575031801,0.8846311329973958,20,0.003871666597870556,0.9114930002514879,0.9052873669209491,0.89777852292732,20,0.0039208902354133345,0.9540441755679491,0.950425469483568,0.9469585972209094,20,0.0018680488066945484,0.919071729957806,0.9140428973277075,0.9107876230661041,20,0.0026625093643026505,0.9208550007716834,0.9177913008111569,0.914197173781871,20,0.0018146934104901937,1150.0,20,age_gt65,demo+anthro
0.8774539414074297,0.8569654183026276,0.8336605255209907,20,0.011336086027594451,0.9570565386275356,0.9201337936987484,0.8254208027621924,20,0.03393259805752424,0.9910179640718563,0.9829749591725637,0.9738704409363093,20,0.00485811275932287,0.9050822953736655,0.8893850088967972,0.8726645907473309,20,0.00881901439265471,0.9697371593923318,0.962864721485411,0.9534603327706777,20,0.00431254641509533,0.933457970504457,0.9224647803112298,0.9013939981569555,20,0.008247303040544239,345.0,20,age_lt45,demo+anthro
0.9503787932830178,0.9444436518240572,0.9378236863506013,20,0.0036416521715510234,0.9242743692459061,0.917555696113571,0.9048246538758872,20,0.005588825014419203,0.948116030890962,0.9420152119009038,0.9337216601702215,20,0.004034135622775993,0.9631384309685017,0.9600263099793936,0.955852590521048,20,0.0018338866538264308,0.9412783505154638,0.9376553755522826,0.9329484536082474,20,0.002081084991323969,0.9439426673862001,0.9403392490740419,0.9350961122196886,20,0.002008544209384923,660.0,20,meta_complete,demo+anthro
0.9103335091729674,0.9074581794736535,0.9032905456889982,20,0.0022573055796654604,0.9093886066763426,0.9045165094339623,0.8966527576197387,20,0.003915240164601645,0.9294343305894436,0.9255501247190365,0.9184254567183475,20,0.0030289993422966247,0.9508254449006638,0.9460999745002836,0.9428390031172103,20,0.0019259053624144848,0.9405501997905109,0.936913479070489,0.9339527485743104,20,0.0017291448276035818,0.9262082897762489,0.924107653439485,0.9212529270371164,20,0.0014025774017165842,1538.0,20,meta_incomplete,demo+anthro
0.932886488739169,0.9265002865130493,0.9236920245185712,20,0.0024061276226889005,0.9179241427987667,0.9116765110145251,0.9007169657119507,20,0.004592476087191268,0.9439141918183834,0.9396056372104278,0.9315671686929172,20,0.003107429517877196,0.9602115423336354,0.9559663810027184,0.9538721936977751,20,0.0015495113162615492,0.9538800795020963,0.9502347826507471,0.9469405716993815,20,0.0016832776546531298,0.9388907426736358,0.9367967196782934,0.9340309451574959,20,0.0012461199135044058,1132.0,20,sex_female,demo+anthro
