CD_auc,HYP_auc,MI_auc,NORM_auc,STTC_auc,condition,macro_auc,macro_auprc,macro_brier,macro_ece,n_test,seed,variant,w_fused
0.91667653803874,0.90803813639518,0.9264883053839363,0.9489979441774818,0.9363695567329009,none,0.9273140961456479,0.817577142156298,0.096676274917825,0.07255354038252494,2198,2031,none,1.0
0.9140586501648914,0.9047220995520787,0.9250353045013238,0.9482655836812256,0.9358693947811476,normal,0.9255902065361334,0.8163748977583101,0.09766084896782354,0.07637478247064067,2198,2032,none,1.0
0.9140586501648914,0.9047220995520787,0.9250353045013238,0.9482655836812256,0.9358693947811476,shuffle_val,0.9255902065361334,0.8163748977583101,0.09766084896782354,0.07637478247064067,2198,2032,none,1.0
0.9140586501648914,0.9047220995520787,0.9250353045013238,0.9482655836812256,0.9358693947811476,mask_only,0.9255902065361334,0.8163748977583101,0.09766084896782354,0.07637478247064067,2198,2032,none,1.0
0.9140586501648914,0.9047220995520787,0.9250353045013238,0.9482655836812256,0.9358693947811476,none,0.9255902065361334,0.8163748977583101,0.09766084896782354,0.07637478247064067,2198,2032,none,1.0
0.9158461582199309,0.9042903444577629,0.9241394527802295,0.945826343957185,0.9357526521745599,normal,0.9251709903179337,0.8126450799403511,0.1009605709461489,0.08185944299124386,2198,2033,none,1.0
0.9158461582199309,0.9042903444577629,0.9241394527802295,0.945826343957185,0.9357526521745599,shuffle_val,0.9251709903179337,0.8126450799403511,0.1009605709461489,0.08185944299124386,2198,2033,none,1.0
0.9158461582199309,0.9042903444577629,0.9241394527802295,0.945826343957185,0.9357526521745599,mask_only,0.9251709903179337,0.8126450799403511,0.1009605709461489,0.08185944299124386,2198,2033,none,1.0
0.9158461582199309,0.9042903444577629,0.9241394527802295,0.945826343957185,0.9357526521745599,none,0.9251709903179337,0.8126450799403511,0.1009605709461489,0.08185944299124386,2198,2033,none,1.0
0.9182887305257571,0.9096981263011796,0.9230052956751986,0.9470186369350166,0.9355781105323577,normal,0.926717779993902,0.8188692588546042,0.09664895771364515,0.07470110956731005,2198,2034,none,1.0
0.9182887305257571,0.9096981263011796,0.9230052956751986,0.9470186369350166,0.9355781105323577,shuffle_val,0.926717779993902,0.8188692588546042,0.09664895771364515,0.07470110956731005,2198,2034,none,1.0
0.9182887305257571,0.9096981263011796,0.9230052956751986,0.9470186369350166,0.9355781105323577,mask_only,0.926717779993902,0.8188692588546042,0.09664895771364515,0.07470110956731005,2198,2034,none,1.0
0.9182887305257571,0.9096981263011796,0.9230052956751986,0.9470186369350166,0.9355781105323577,none,0.926717779993902,0.8188692588546042,0.09664895771364515,0.07470110956731005,2198,2034,none,1.0
0.9219383742087108,0.9100766513153745,0.9269566416593115,0.9481529128356478,0.9357434958916904,normal,0.9285736151821469,0.8188458850959618,0.09656322832553457,0.07618688433966929,2198,2035,none,1.0
0.9219383742087108,0.9100766513153745,0.9269566416593115,0.9481529128356478,0.9357434958916904,shuffle_val,0.9285736151821469,0.8188458850959618,0.09656322832553457,0.07618688433966929,2198,2035,none,1.0
0.9219383742087108,0.9100766513153745,0.9269566416593115,0.9481529128356478,0.9357434958916904,mask_only,0.9285736151821469,0.8188458850959618,0.09656322832553457,0.07618688433966929,2198,2035,none,1.0
0.9219383742087108,0.9100766513153745,0.9269566416593115,0.9481529128356478,0.9357434958916904,none,0.9285736151821469,0.8188458850959618,0.09656322832553457,0.07618688433966929,2198,2035,none,1.0
0.9195100166786704,0.9087715286101823,0.9275408208296558,0.9505341354824877,0.9357515076392012,normal,0.9284216018480395,0.8192848081625392,0.09718835294908737,0.07703117230441738,2198,2036,none,1.0
0.9195100166786704,0.9087715286101823,0.9275408208296558,0.9505341354824877,0.9357515076392012,shuffle_val,0.9284216018480395,0.8192848081625392,0.09718835294908737,0.07703117230441738,2198,2036,none,1.0
